N_Item	Average_Q	N_invited	BFQ	time4	time6	time7	time8	time9	time10	time11	time12	time14	time15	time19	bid2	bid3	bid4	bid5	bid8	mkt2	mkt3	mkt4	mkt7	EFF
1	1	3	17850	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.128851541
1	1	4	212264	Serial	NA	Yes	2	Yes	4	3	3	25	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.119021596
1	1	3	19500	Serial	NA	Yes	2	Yes	4	3	3	25	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.049076923
1	1	4	16800	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.104107143
1	1	6	198600	Serial	NA	Yes	2	Yes	4	2	2	25	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.112789527
1	1	3	13500	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.025185185
1	26000	4	260000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.391
1	400	4	4800	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.03
1	1	3	259900	Serial	NA	Yes	2	Yes	3	3	3	20	2	NA	Do not allow prebids	Nominal amount	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.038091574
1	1	3	183300	Serial	NA	Yes	2	Yes	3	5	5	30	2	NA	Do not allow prebids	Nominal amount	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.079105292
1	1	4	36206.9	Serial	NA	Yes	2	Yes	4	5	5	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.229428645
1	1	3	10	Parallel	1	Yes	2	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.15
1	6	4	171000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.368421053
1	1	5	75000	Serial	NA	Yes	2	Yes	5	2	2	30	2	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.333333333
1	1	3	93017.24	Parallel	30	Yes	2	Yes	3	5	6	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.145319728
1	1	3	32631.98	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.077071633
1	1	3	26724.13	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.128502967
1	1	6	342800	Serial	NA	Yes	2	Yes	5	2	2	30	2	NA	Do not allow prebids	Nominal amount	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.247374562
1	30	2	90000	Parallel	30	Yes	2	Yes	2	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.35
1	200	3	72000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.005
1	12	4	21879.36	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.020446668
1	1	4	98608	Serial	NA	Yes	2	Yes	4	3	3	30	2	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.08112932
1	1	3	59971.24	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.165744614
1	2	3	39840	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.071335341
1	1	3	2555309	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.011861188
1	1	3	46190	Parallel	90	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.1037021
1	1	5	32920	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.479951397
1	1	4	410103.45	Parallel	45	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.183132939
2	1	3	29913.79	Staggered	NA	Yes	2	Yes	3	2	2	20	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.077554198
1	1	4	1756774	Parallel	30	No	NA	Yes	2	2	3	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank when leading	"Yes, to Buyers and Participants"	No	0.043701694
1	1	3	55900	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.064400716
1	1	3	55172.41	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.042999934
1	1	3	33053	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.173872266
1	1	5	2593288.5	Parallel	10	Yes	2	Yes	4	1	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.020934231
1	1	3	74320	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.104615178
1	1	3	543320	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.382545645
3	1	11	24842570.5	Serial	NA	Yes	2	Yes	5	1	2	2	15	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.06343949
1	1	3	28900	Parallel	60	Yes	2	Yes	1	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.328719723
3	1	4	160093	Parallel	30	No	NA	Yes	4	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.05286927
1	1	4	711789.09	Parallel	10	Yes	2	Yes	4	1	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.143004566
2	1	3	34100	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.029618768
1	1	8	587089.25	Parallel	30	Yes	2	Yes	7	1	2	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.11736546
1	1	3	29450	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.128013582
1	1	5	111724	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.07308018
1	1	3	105600	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.053030303
1	2	3	29600	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.060878378
1	1	3	232500	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Nominal amount	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.006451613
1	1	4	56800	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.014084507
1	1	4	37000	Serial	NA	Yes	2	Yes	4	2	2	40	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.432432432
1	1	4	80000	Parallel	50	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.0625
1	12	4	828818.04	Parallel	30	Yes	2	Yes	3	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.030585724
1	1	3	55454.54	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.170491722
1	1	3	645000	Serial	NA	Yes	2	Yes	2	2	2	30	2	NA	Do not allow prebids	Nominal amount	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.003100775
1	1	4	1004294	Parallel	10	Yes	2	Yes	4	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.011858171
1	1	6	1035933	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.049166307
1	1	4	6719485	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.199343402
1	1	11	703160	Parallel	10	Yes	2	Yes	5	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.050002844
1	1	2	17475.72	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.027221768
8	1.75	6	1016002.5	Parallel	40	Yes	2	Yes	5	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.0371273
1	1	4	6728408	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.260003258
2	1	4	139030	Parallel	30	Yes	2	Yes	4	2	2	NA	NA	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.338272315
1	4	3	20896	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.055130168
1	1	5	186351	Parallel	10	Yes	2	Yes	5	1	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.065210275
2	3.5	3	16911	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.106226716
1	1	3	13100	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.045801527
1	1	4	209370	Parallel	30	No	NA	Yes	4	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.185652195
1	1	3	183000	Parallel	30	No	NA	Yes	3	4	4	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.163934426
1	1	3	161227	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.035521346
1	1	3	58850	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.074766355
1	1	4	442948	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.113369109
1	1	3	172000	Parallel	30	Yes	0	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.179772093
16	1	3	33151367	Parallel	30	Yes	2	Yes	1	2	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	No	No	No	0.233404161
1	1	3	324800	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.002463054
1	1	5	728690	Parallel	50	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.107988308
1	1	3	309367	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.046439989
1	1	3	370140	Parallel	30	No	NA	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.02739504
1	1	5	913000	Parallel	30	No	NA	Yes	5	7	7	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.147152245
1	1	9	641904.99	Parallel	30	Yes	2	Yes	7	2	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.026335658
1	1	3	37739.93	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.082218753
1	1	3	30120	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.018924303
1	1	3	48574.3	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.022116634
2	1	3	218725	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.173734141
4	3	3	67924.56	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.100472642
1	1	4	10800000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank when leading	"Yes, to Buyers and Participants"	No	0.002777778
1	1	4	1309200	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.125420104
1	1	5	742478	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.244422057
2	1	3	51920	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.036979969
1	1	3	18600	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.123655914
1	1	6	168500	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.026706231
1	5	6	25800	Parallel	30	Yes	2	Yes	6	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.230620155
1	1	3	170020	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.294200682
1	1	4	589574.4	Parallel	30	Yes	2	Yes	4	1	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.236737552
1	1	5	248896	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.22778992
1	1	3	1682230	Parallel	30	No	NA	Yes	2	3	3	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank when leading	No	No	0.149212652
1	1	4	453645	Parallel	50	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.144705662
10	9	3	116733	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.110328699
1	1	8	938689.4	Parallel	30	Yes	2	Yes	6	2	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.131768187
1	1	3	709862.83	Parallel	30	No	NA	Yes	3	3	3	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.013893994
1	1	3	201690	Parallel	30	Yes	2	Yes	3	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.216619565
1	1	5	582410	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.144932264
1	1	4	246700	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.310903932
1	1	3	372000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.196236559
1	1	3	2754915	Parallel	30	Yes	2	Yes	3	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.230466276
5	1	2	3223141.99	Parallel	30	Yes	2	Yes	3	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	No	No	No	0.002551458
1	1	3	140000	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.092857143
1	1	4	818000	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.114914425
2	1	3	69051.9	Parallel	25	Yes	2	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.027969107
1	1	3	22630	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.200176757
1	1	5	473239	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.387413125
2	1	4	623362	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.216506621
1	1	3	206103	Serial	NA	Yes	2	Yes	3	2	5	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.005000024
3	11	3	118314	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.027841168
1	1	5	260000	Parallel	50	Yes	2	Yes	3	5	7	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.084615385
1	1	3	21500	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.114883721
1	1	4	289600	Parallel	50	Yes	2	Yes	3	7	7	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.164364641
2	1	5	766650	Parallel	50	Yes	2	Yes	3	8	8	NA	NA	NA	Do not allow prebids	Percentage	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.344811844
1	1	5	8593034.12	Parallel	10	Yes	2	Yes	4	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.081814422
1	1	3	1251488.52	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.103875439
1	1	3	955480	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.248545234
1	1	5	3135348	Parallel	30	Yes	5	Yes	1	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.03710848
1	1	3	165986.21	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.063860727
1	1	4	190452.9	Parallel	10	Yes	2	Yes	4	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.099514893
1	1	3	370272	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.1399418
1	1	3	106132.07	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.066665712
1	20	3	23700	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	NA	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.037974684
1	1	3	56490	Serial	NA	Yes	2	Yes	3	2	5	30	2	NA	Do not allow prebids	Percentage	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.21865994
1	1	3	71520	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.161213647
1	1	10	204160	Parallel	80	Yes	2	Yes	4	8	8	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.075819112
1	1	3	155500	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.067524116
1	1	5	105000	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.439047619
1	1	5	2601600	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.115928659
7	1	4	3856691	Parallel	60	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.023213942
4	1	4	2060545	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.10460582
7	1	4	1638727	Parallel	50	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.129812348
3	1	4	1794303	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No	0.010988111
