Auction	N_Item	Average_Q	N_invited	BFQ	time4	time6	time7	time8	time9	time10	time11	time12	time14	time15	time19	bid2	bid3	bid4	bid5	bid8	mkt2	mkt3	mkt4	mkt7
Doc177692876.xls	1	1	4	797800	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc178455338.xls	1	1	6	355000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc179164539.xls	1	1	2	41000	Parallel	30	Yes	2	Yes	2	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc179993490.xls	1	1	5	1187950	Parallel	60	Yes	2	Yes	3	7	7	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc180826639.xls	2	1	3	3108464	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc181399585.xls	1	1	5	1919880	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc181915274.xls	16	1	4	2099800	Serial	NA	Yes	2	Yes	3	5	5	15	15	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc182217654.xls	1	1	3	257715	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc182617112.xls	1	1	4	2005700	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc183460424.xls	1	1	4	441731	Parallel	30	No	NA	Yes	4	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc184671136.xls	1	1	5	487150	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc184748942.xls	1	1	4	56100	Parallel	30	Yes	2	Yes	4	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc184878190.xls	1	1	3	192703	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc184926548.xls	1	1	4	288805	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc185079262.xls	5	1842.4	5	2286229.04	Parallel	30	Yes	2	Yes	2	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc185576477.xls	1	1	3	4330000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc187336453.xls	1	1	3	72176	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	NA	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc188029977.xls	1	1	5	4069300	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc188120459.xls	1	1	2	41000	Parallel	30	Yes	2	Yes	2	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc188135097.xls	1	1	3	590700	Parallel	10	Yes	2	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc188478618.xls	1	1	2	23913	Parallel	30	Yes	2	Yes	2	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc188478843.xls	2	1	6	2607838.9	Parallel	10	Yes	2	Yes	5	1	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc188930092.xls	1	1	3	284000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc188953706.xls	1	1	3	33857	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc189308286.xls	2	1	3	637420	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc190525695.xls	2	1	3	153880	Parallel	60	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc190531541.xls	2	9	3	517104	Parallel	20	Yes	2	Yes	3	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc190863844.xls	1	1	3	3701678	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc193440638.xls	6	3.666666667	3	1403448.26	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc193443172.xls	1	12	3	26400	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc194198060.xls	2	1	3	140000	Parallel	30	Yes	1	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc194220553.xls	1	1	3	842400	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc194473684.xls	1	1	3	1902110	Parallel	30	No	NA	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc194609343.xls	2	1	3	1595808	Parallel	20	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc194610629.xls	1	1	4	309700	Parallel	80	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc194679345.xls	2	1	4	49735	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc195099755.xls	1	1	5	272560	Parallel	30	Yes	2	Yes	3	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers only"	No
Doc195441293.xls	2	92	3	554024	Parallel	20	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc195995926.xls	1	1	4	271800	Parallel	30	Yes	1	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc195995985.xls	2	1	3	71800	Parallel	30	Yes	1	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc196090863.xls	1	1	3	427396.23	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc197642333.xls	1	1	4	305225	Parallel	40	Yes	2	Yes	4	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc199164133.xls	1	20	3	31100	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc199180746.xls	5	10	2	101870	Parallel	20	No	NA	No	NA	NA	NA	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc199285202.xls	1	1	3	255000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc199523140.xls	1	1	2	850934.7	Parallel	30	No	NA	Yes	10	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	No	No	No
Doc200423383.xls	1	1	3	6427301.76	Parallel	30	Yes	5	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc201488807.xls	2	2	4	20724.14	Parallel	30	Yes	2	Yes	3	3	3	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc201880993.xls	2	1	5	1248400	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc202266937.xls	1	1	3	2109660	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc202747346.xls	1	1	3	3278770	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc203581312.xls	9	36197.77778	9	1830377.8	Serial	NA	Yes	2	Yes	1	1	3	10	10	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc203725363.xls	2	1	3	246085.3	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc204709739.xls	2	1	3	160000	Parallel	60	Yes	5	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc204847456.xls	14	1	3	1437548.6	Serial	NA	Yes	5	Yes	3	5	5	5	5	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc204847491.xls	10	1	3	3103178	Serial	NA	Yes	5	Yes	3	5	5	5	5	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc208489817.xls	1	1	2	40000	Parallel	60	Yes	5	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc208950743.xls	3	1	3	84530220.45	Parallel	40	Yes	3	Yes	3	3	3	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	No	No	No
Doc211336293.xls	1	1	5	1944500	Parallel	30	Yes	2	Yes	4	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc211766704.xls	6	1866.666667	5	12314700	Parallel	30	Yes	2	Yes	5	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc214075427.xls	2	1	5	2951180	Parallel	20	No	NA	Yes	99	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc215405557.xls	1	500	2	249140	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc215798811.xls	1	1	2	5250000	Parallel	30	No	NA	Yes	10	2	2	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	Yes	No	No	No	No
Doc217395159.xls	1	2	3	29433.96	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc218948135.xls	4	1	5	5173653.66	Serial	NA	Yes	2	Yes	5	5	5	30	30	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc220888738.xls	1	4	3	16477.84	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc221490954.xls	1	1	2	47754.72	Parallel	30	Yes	2	Yes	2	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc224111158.xls	14	771.4285714	4	1554220	Parallel	30	Yes	3	Yes	4	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc224820462.xls	1	1	3	256200	Parallel	30	Yes	2	Yes	4	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc224833436.xls	1	1	4	1690000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc226038799.xls	1	1	4	528943	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc226393189.xls	1	42000	6	210000	Parallel	15	Yes	1	Yes	2	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc226861497.xls	1	1	3	2242053	Parallel	40	Yes	3	Yes	3	3	3	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc227259333.xls	1	1	4	180000	Parallel	80	Yes	2	Yes	3	7	7	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc227281438.xls	2	1	3	96000	Parallel	80	Yes	2	Yes	3	7	7	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc228557810.xls	2	2	3	16760	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc229039185.xls	7	88	4	117108.88	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc229245246.xls	1	160	3	27611.2	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc230007736.xls	37	587.4254054	9	16849882.99	Parallel	45	Yes	30	Yes	4	2	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	Yes	No	No	No	No
Doc230131721.xls	1	1	5	427853	Parallel	30	No	NA	Yes	5	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc230142483.xls	1	2	3	21047.78	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
