,text,tag,score
31,dnt b a hater cuz we need some dick! and the toys aint wk n!!!,NEGATIVE,0.875558078289032
32,im goin 2 christopher friday. ----- ----- to the game && stuf. ----- ----- talk to me. ----- ----- ----- ----- ?,NEGATIVE,0.9527493119239807
33,hi tim! been to the shit co (AKA the fish co) recently??? ahh the good drunk nights at fish co.... how can you go wrong?? haha.... ----- ~R,POSITIVE,0.9987356066703796
34,wow the space is actually looking like a space lol! how many girls you got harrassing you about your muscles! lol dork!,POSITIVE,0.8998125791549683
35,just dropping in to say hello.,POSITIVE,0.9063138365745544
36,Hey Craig how are things going there in Texas I herd that you want to move here to Arizona tell Shana we said hi to her,POSITIVE,0.8715701103210449
37,Happy Holidays! Hope U have a great New Year as well!!!,POSITIVE,0.9987061023712158
38,yeaaaaaaaaah me edga baby here how the hell ya been...we do gaaabage soooonnsss,POSITIVE,0.8998706936836243
39,Love your pics! ----- Thanks for the add!! ----- :),POSITIVE,0.9982767105102539
40,imhouwant4life89,POSITIVE,0.967073917388916
41,I just stopped to say say I LOVE YOU!!!!,POSITIVE,0.9937631487846375
42,you should watch us play on the 26th if your still in town. we play a team from north carolina,POSITIVE,0.9921905398368835
43,HOW U BEEN U NASTY BOY LOL,POSITIVE,0.6780438423156738
44,HOOTERS. HAHA.,NEGATIVE,0.9917085766792297
45,wat it do baby boo lmao hey man where have u been?,NEGATIVE,0.9165481328964233
46,hey HONEY what the hell you been doin...i aint seen you in a min...where the hell you been....so what you doin this weekend...DAM i see you all in LOVE and shyt when did this happen you just dont let me know SHYT NO MORE do you...NOW when we was in PARKSIDE yo ass couldnt wait to tell me shyt i see how you doin it... but do you boo...well my nigga get at me***keshia***,NEGATIVE,0.8735363483428955
47,What's up with that boy Carson?,NEGATIVE,0.6188395619392395
48,"NEXT TIME I SEE YOU IM WHOOPIN' YOUR COUNTRY ASS, HILLBILLY!",NEGATIVE,0.926366925239563
49,i heart u too,POSITIVE,0.9968767166137695
50,lol yea ill be there go on hol 4days later cant wait! x,POSITIVE,0.997220516204834
51,What it do man........holla at ya boy!,POSITIVE,0.9995423555374146
52,HIIII ----- i love you ----- BOTHHHH ----- MUCHOO.,POSITIVE,0.9789117574691772
53,Things are good thanx - wow emma blast from the past!,POSITIVE,0.9974945783615112
54,"Um, thanks for the add. Want to tell me a little more about yourself?",NEGATIVE,0.6886675357818604
55,"Not yet, Charlie wont be done with her solo ensamble in time to go with us and she said she has a responsibility to her choir team to be there, and not at the race... I'm so proud... anyway, her friend, Stephanie's mom said she can probably just pick her up with Stephanie and let her stay the weekend and go to school with her... she rides the same bus so it would be conveint... she said she had to check a few things out on her schedual but would get back in touch with me soon... I'll keep ya updated, its still a month away... a lot can change...",POSITIVE,0.9347187280654907
56,hey thats awesome congratulations where are you getting married at? oh and im really sorry to tell u this but i lost your phone number again so could u please give it to me again?,POSITIVE,0.7457417845726013
57,yeayea! you too jundo! =],POSITIVE,0.9997897744178772
58,Josh whats up my home skillet haha:) To set up a myspae background you need to set up pics on photoshop and then shift them into a code. Then use a myspace layout to make a background.,POSITIVE,0.999798595905304
59,Hey there! Thanks for the compliment! How is everything? You're display pic looks awesome! I like your hair!,POSITIVE,0.9996145963668823
60,did you forget what we have?,POSITIVE,0.7472086548805237
61,"hello there, ----- ----- we thank you kindly for accepting our invite. ----- ----- much appreciated!! ----- ----- regards, ----- S.I.G.H.T.unit",POSITIVE,0.9660930037498474
62,i know it cus... love ya.... call me some time,POSITIVE,0.8895728588104248
63,Hey 'Liss.. ----- ----- Maybe you should RUN AWAY to MARYVILLE! :P Then we can partay like rawk stars! haha,POSITIVE,0.7081854343414307
64,haha yeaaaaaaaaaaaaa,POSITIVE,0.515907347202301
65,i have free internet!!!! lol -----,POSITIVE,0.8046344518661499
66,Yeah im worried too...I have two other classes that are at the same time as organic that i have to take to graduate so im really worried!,NEGATIVE,0.9760813117027283
67,aw big shame lol ----- I haven't been up 2 much really ----- jus went 2 oceana havent been sooo bored in my life saw some mates so thats all cool. hope your well speek soon xxx,POSITIVE,0.8916401863098145
68,waz gud tho!!?? how u been?,NEGATIVE,0.9991517066955566
69,Hey thanks for the add. Dont be a stranger=),POSITIVE,0.8171166777610779
70,To Honor!,POSITIVE,0.9978693723678589
71,hey lan!!!!! things r good!!! i loved the comment you left me....nice pic!!!,POSITIVE,0.9943076968193054
72,Would you please get a picture on here?,NEGATIVE,0.977208137512207
73,HEY SO WHAT HAVE YOU BEEN UP TO?,POSITIVE,0.9904627203941345
74,Hi Ali - Managed to get this myspace working now and thought id leave you a wee message! How do u get ur backdrop pink? Miss you! xxx,POSITIVE,0.6632235646247864
75,happy birthday to you...happy birthday to you...happy birthdaaay grreegg...happy birthday to you!!! im singing to ya if you couldn't tell...:->,POSITIVE,0.9993383288383484
76,3 days off! bastardo! im at work today :(,NEGATIVE,0.9999271631240845
77,definitely not dread the b chord! haha,NEGATIVE,0.9819921255111694
78,TAKE ME TO JAIL DROP MY SOAP SHUT THE FUCK UP MAN LOL.,NEGATIVE,0.8455501198768616
79,hey mike!!!,POSITIVE,0.998749852180481
80,Hey girl I haven't heard from you in a while so I thought I'd stop in to see what was up?,NEGATIVE,0.6443768739700317
81,happy birthday,POSITIVE,0.9881315231323242
82,ok ya for sure i just have to ask oh k?,NEGATIVE,0.9011034369468689
83,"Wow, it's been along time since this page has been updated, don't worry all I will get on it soon!! I've just been real busy lately, but now that things should calm down some I should have more time!!!",POSITIVE,0.9551697969436646
84,Hey thanks for the add beautiful. Have a great summer. Alright peace,NEGATIVE,0.5688697695732117
85,HEY THANX FOR DA REQUEST...DO I NO U??,NEGATIVE,0.8030749559402466
86,What's up? Long time no see. It's not everyday you come across somebody who knows where Peyton is.,NEGATIVE,0.9967177510261536
87,love u,POSITIVE,0.9886330962181091
88,.. i h0p3 s0 2 l0l wat ar3 yall g0iing 2 lata..,NEGATIVE,0.9721116423606873
89,Happy Birthday on Sunday! You're a class act..........,POSITIVE,0.9961613416671753
90,"yo matt what up.. long time man, we need to chill soon",POSITIVE,0.9992903470993042
91,Hi donna+alex How are you two on this fine evening. What are your plans?? Anything romantic or a few films by trhe bedside? xx,POSITIVE,0.993451714515686
92,hahahaha legend! ahhh blackadder and the 6hour war film will look very goood on that i bet! ----- i will be up soon to test out the new HD tv hahaha ----- mmmm capri sum and the stak and kidney pie! ----- xxx,POSITIVE,0.9993131160736084
93,"oh, you know.. good things. ----- i like to keep confidentiality ----- with the fam, you know lol ----- sors bro",POSITIVE,0.9819714426994324
94,blank comment?? whats up with that? lol,NEGATIVE,0.9946570992469788
95,Happy Birthday!,POSITIVE,0.9964989423751831
96,"Hey bro, I seen that u have the buffalo skull drawing that I did erase that one and put the one that I have in my pics it looks much better and u can see the details, Later DJ",POSITIVE,0.8670125007629395
97,hey whats up dogg,POSITIVE,0.854953944683075
98,"So i dont think i know you, but you probably saw my myspace and figured that i was one studly mf, and then you added me becasue you happen to have a crush on me. Am i right? Its cool.",POSITIVE,0.5737293362617493
99,"lol Hows it going out in misery err... Missouri... seen any tornadoes lately? Anyways, Hope all is good ----- ----- Chat you Later, ----- ----- Nate",POSITIVE,0.526105523109436
100,"Thank god for myspace! lol kidding, how have u been?",POSITIVE,0.7806845307350159
101,"hi,im jessica. ----- :] ----- how are you doing?",NEGATIVE,0.9914727210998535
102,no problem! damn dats whats really good.. i wanna lose some wieght too! so ima try it out ! thanks k.i.t n oh yeah don't let ur boss caught u!! lol,POSITIVE,0.9999366998672485
103,becky olives is my bestest friend forever! i love you becky!!! jello shots schmello shots,POSITIVE,0.9997430443763733
104,i like your picture,POSITIVE,0.9887356162071228
105,"yo, next time your on TS, IM me on aim so I can get on and chill with ya",POSITIVE,0.9999154806137085
106,Happy Birthday bro,POSITIVE,0.9943321943283081
107,fuck you man.,POSITIVE,0.9986348748207092
108,"alrite buddy. ----- u lot gunna b out in town on thursday? think theres quite alot of ppl goin out, shud b gd. seems a while since we were out with u lot.",NEGATIVE,0.9104927182197571
109,dude its been forever how you doin? what you been up to?,NEGATIVE,0.9215802550315857
110,little girl,POSITIVE,0.9875403046607971
111,"wats up tyler?? u got 2 listin 2 the song on my pro, it makes fun of soulja boy in a hardcore verson..its awsome",POSITIVE,0.9486148953437805
112,"hey, just letting you know this is NOT the official Mr. Shy page, sorry! (blame Myspace!!;)) ----- ----- ----- Add-request me at my official page below, and I'll accept u there... and then delete this page, thx!! ----- ----- ----- www.myspace.com/mshy ----- ----- ----- ----- also join my MySpace FAN PAGE, where you'll get extra info and updates regularly: ----- ----- ----- www.myspace.com/mrshyfanpage ----- -----",NEGATIVE,0.9999648332595825
113,hey can u believe this im in england,POSITIVE,0.9371404051780701
114,things are pretty good here. Crazy busy mike works everysaturday and I work everyother. So we are really busy I am still doing a college class. I dont think we will be down any time soon just way to much happening in our lives right now.,POSITIVE,0.9973579049110413
115,noo forreal haha i dont have backround girls. thats mean ----- i have girls i thnnk arehot and if things go bad they are theree hahaha,NEGATIVE,0.9990353584289551
116,"I wanna know you, your insecurities ----- Secrets and your needs ----- I want your mental and your physical too ----- And once I've got it I won't stop ----- Until you know you're beautiful ----- ----- ~DORIAN~",POSITIVE,0.9998664855957031
117,Just thought I would drop by and say happy christmas merry new year lol Take care,POSITIVE,0.9907312989234924
118,"Hey get ahold of me please, I have some things to discuss with ya! Love Ya!",POSITIVE,0.9854848980903625
119,"Honey I'm so HAPPY to be carrying your first BABY.... I just can't wait until we found out how far along we are... I hope all goes well and we have no problems with this pregnancy......... I Love You ETERNITY, INFINITY, and BEYOND...... ----- ----- TISHA",POSITIVE,0.9996163845062256
120,"Whatever i do not hate on ppl and i was not giving u a mean face. yall were just being stupid and i was givng u a ""your wierd"" face! But u two r funny though.",NEGATIVE,0.7707079648971558
121,Whats up...thanx for the add! How have things been.. ----- my bad at the speedway ----- I was ----- on the phone conducting business..lol I didnt even see you come in ----- and i was already late for work =/. But yeah get back at me!,NEGATIVE,0.9998849630355835
122,"ZOMG It's Anthony! <3 The hair style on your pic, it's so you =P",POSITIVE,0.9999608993530273
123,"Hey there, ----- it was really nice to see you guys again. We should do it more often!! Hope to see everyone soon! ----- ~Ashley",POSITIVE,0.9995604157447815
124,"yes it has. How are you doing? We are doing good. Chad is back out to sea until November!! Gotta love the Navy!! Well, hope you are doing well. Good to hear from ya...keep in touch!",POSITIVE,0.9974454641342163
125,hey hun thanks for the add hope your well and spk soon xxxx,POSITIVE,0.9536857008934021
126,ACDC why did you have to blow Ken's cover?,NEGATIVE,0.8773486018180847
127,ENJOY YOUR PIZZA???,POSITIVE,0.6985281705856323
128,Thanks for the add.,POSITIVE,0.8165602684020996
129,thanks for the add :),POSITIVE,0.9893569350242615
130,im bleeding rectally ----- xxx,NEGATIVE,0.999976634979248
131,good lad ill be in top form today mate im not hungover hope your the same lol,POSITIVE,0.9954912066459656
132,wassup john how u been im jus cummin thru 2 sho sum lubb,NEGATIVE,0.8697314858436584
133,my babyshower is oct.2oth ima give you an invitation next week so u betta start shopping trick,POSITIVE,0.9893215894699097
134,It's about time you gave into the world of Mysapce. So how's everything going?? Are you and Jess coming up for the wedding?? Well see ya later. ----- ----- Peace.,NEGATIVE,0.7316128611564636
135,Thank you! ----- ----- =),POSITIVE,0.9817883968353271
136,"lol havent gotten it yet, i think im going today..sounds good though.",NEGATIVE,0.5394536852836609
137,have fun in vegas...,POSITIVE,0.9986912608146667
138,heyy loser. :] ----- dont you think your cool now. ----- since you have a myspace. ----- yeahh dont you?!?!?!?! ----- well you are very cool now. ----- BECAUSE MYSPACE IS FREAKIN' COOL! ----- ok well love you uncle loser.,POSITIVE,0.8451683521270752
139,"HAPPY BIRTHDAY COUSIN!!! Enjoy your day to the fullest. May God bless and keep you and guide you each and everyday. Take care and have fun! Love, Silvy",POSITIVE,0.9930029511451721
140,WHATS UP MY BIG BRO!! ----- WHAT YOU DOIN,POSITIVE,0.994236946105957
141,hey catherine what ya up too well me nothin much tryna pass my classes but i love avinger so much,POSITIVE,0.9929416179656982
142,Hey Joe.. Hows it been going.. -----,NEGATIVE,0.5714678764343262
143,Hi dobbie! Ooo this is the magazine thing i've been hearing about! cool!! if only i lived in glasgow! haha! a doi de doi de doi de doi! :) hope alls great with u! :),POSITIVE,0.9996945858001709
144,was up homie...im chillin..u?...well cmb ----- Peace ----- ~Hector~,POSITIVE,0.9952738881111145
145,Happy Birthday Staz!,POSITIVE,0.9992782473564148
146,miss you lover!,POSITIVE,0.9989921450614929
147,who's that girl?,NEGATIVE,0.5331695079803467
148,DID YOU SEE THE BABY :) ----- SHE IS SO CUTE. HOW IS EVERYTHING WITH YOU. BEEN A WHILE,POSITIVE,0.8962143063545227
149,HAPPY BIRTHDAY!!!!!!!!!!!!,POSITIVE,0.9991636276245117
150,How U doin' baby i luv u........ The Incredible Mutha Fuckin Black,POSITIVE,0.9995238780975342
151,You are by far the most amazing and wonderful woman I have ever met! I love you with all of my heart and soul Ashley!!!!!!,POSITIVE,0.992766261100769
152,"nah huy its the knuckle head crew lol, hope yo arm gets betta soon",POSITIVE,0.9995625615119934
153,whats up girl!! its been a long long time! how have you been?,POSITIVE,0.9757566452026367
154,you suck lol =) telling my the ending or CLOSE to the ending of gatsby >.< i passed my two test hehe 10 out of 12 and 8 out of 10 on vocab >.< kinda bad oh well you still owe me vday dinner >:[ flying elephant is hungry.. i dotn think i want to be an elephant maybe something cutier =D,NEGATIVE,0.9991642236709595
155,whatsup? ----- thanks for adding me!<3,POSITIVE,0.9774473905563354
156,yo homeslice!! just leavin some love on your page. ill ttyl love peace and chicken grease HOLLA *joelle*,POSITIVE,0.9967362284660339
157,"HEY OTHER SAMANTHA (HA-HA)THAT IS SO TRUE, I GUESS THAT IS WHY I CAN'T FORGET YOU. THANKS FOR BEING A TRUE FRIEND.",POSITIVE,0.9839531779289246
158,whats up shorty cant wait till friday so i can pick on you lol,POSITIVE,0.9748237729072571
159,how are u hun ----- will w/m/b love you alot ----- B&B Margie,POSITIVE,0.9994126558303833
160,"o, definitely, definitely, definitely!! yea...definitely...",POSITIVE,0.9998619556427002
161,hey babe why dont u put picZ of u...i wanna see ur cute face again!!!,POSITIVE,0.9682494401931763
162,u cassie freak,POSITIVE,0.65265291929245
163,"Not bad thanks. ----- ----- In that case, fancy going to see him in august with me? It is in London but rents are prob going to go up too and go out some place else lol its like £17.50 which i think is a bargain personally =) ----- ----- Get back to me lovely ----- ----- love love ----- ----- ox",NEGATIVE,0.9991402626037598
164,"Alright guys I know everyones been asking and I hadn't made up my mind yet til now.. So here's the scoop! I'm gonna celebrate my B-DAY SATURDAY THE 14th @ GLASS.. So please help me spread the word. I only have a week to get the word out to everybody, but with everyones help we should have a great turn out.. Last year we had an awesome turnout, so lets make this years b-day/reunion party bigger than last years.. I'm counting on you guys to let everyone know about my OFFICIAL B-DAY/REUNION PARTY! Don't miss out on hanging with all our peeps under one roof! ----- ----- In the next day or so I should have some more details for everyone.. But start spreading the word! ----- ----- Orly..",POSITIVE,0.9921846985816956
165,"Tell Na,I said Happy Birthday!!!!!!!",POSITIVE,0.9964644908905029
166,ya it was under warranty so it was free! and i already got everything back on it it was all saved on my computer so its all good to go!,POSITIVE,0.995448887348175
167,"damn bro, Happy Belated BIRTHDAY!!! ----- ----- hehe, but yea hope you didnt party to gard and grats on hittin 16 :P ----- ----- peace out Roids, ----- ----- ~MatT~",POSITIVE,0.9951291084289551
168,"Hi Bry, im still at school doing a research project.",POSITIVE,0.906225323677063
169,"I just got tired of all the shit. No support, no money, no leadership. So I quit. I spent 12 years at that place, and not one person has said thank you or even f-k off since I left. It is all good though, things are going great, and it would have been foolish of me to stay amy longer. That place has nothing going for it anymore, and I don't want to be associated with it.",NEGATIVE,0.9999796152114868
170,My HERO!!! :-),POSITIVE,0.9998416900634766
171,hope you are having a killers summer so far twin.......miss ya lots,POSITIVE,0.9916349649429321
172,campin in flag on the 13th!! Bring the bike budday!! Lemme know. try responding for once eh?,POSITIVE,0.7434014678001404
173,"were going out tonight, you wanna go? let me know, call me, k?!",POSITIVE,0.9064102172851562
174,"Hi Dave, ----- All is well here by the river! ----- Just spoke to Jesss this morning and she is getting prepared for a halloween party in Edinburgh.... ----- cannot think of a better city than Ed to do that....very gothic with castles and cobbled streets etc (very Jess hey) ----- Lisa has just got a new job in London and is working for the management company that handles Mark Knopfler.... ----- money for nothin' and your chicks for free....etc ----- James is at Newcastle uni and having a ball....which means getting pissed most nights, I think! ----- Anyway Dave,.....keep well",POSITIVE,0.9266906976699829
175,"hello mr, lovely wig i think it should be a permanent fixture! hope all is well and dandy!xx",POSITIVE,0.9993851184844971
176,"Hey ryan, ----- I heard u might be getting a bike thats sweet. Well good luck in your search. ----- ~trish",POSITIVE,0.677701473236084
177,idk what do you mean.,NEGATIVE,0.9687886238098145
178,"hey, did you have a good party?? sorry i couldnt go, my parents are nobbers sometimes n wouldnt pick me up :( xxx",NEGATIVE,0.9552371501922607
179,Shoot i guess when ever i get a chance. All the damn rodeos got me goin a bunch. i'll make it down there before to long.,NEGATIVE,0.7893321514129639
180,"girl, go do something with ya life.",POSITIVE,0.9893217086791992
181,thanx 4 da add. can u comment my pics?,POSITIVE,0.9796659350395203
182,"yo, we gonna listen to dem tapes dis weekend fake money. ya know, CREW 2001 like 1999. ITT TECH and all dat! SLOPPY, BJ, Big DADDY LONG SHLONG, MEX, DUI till you die or me first. ----- GET DEM 40 so you can $ it!",NEGATIVE,0.9558823108673096
183,okay well at least it was useful!,NEGATIVE,0.6868202090263367
184,happy birthday =),POSITIVE,0.9986262321472168
185,Your Girlfriend would be even COOLER if she would just let us Cuddle...i mean she gets really Irrate about sharin...but who could blame her when she has such a (cute) Hardcore Rocker Boyfriend.......,NEGATIVE,0.9893943667411804
186,yay ur only friend and 1st comment i feel so special,POSITIVE,0.9947453737258911
187,preciate dat cuz...i'an been doin nun but dis music shit...grindin harder than a muthafucka...it's payin off doe...,NEGATIVE,0.9890955090522766
188,Hey who is that Hott Old man in the Picture? Man I hope I look as good as he does when Im that old...,POSITIVE,0.9913962483406067
189,hi thanx for the lil add.........i take it you know my bff saMMI............yeah she rocks!,POSITIVE,0.9998224377632141
190,hello baby ----- im so glad where still together ----- just wanted to show you some love ----- ----- love stephanie,POSITIVE,0.9964450001716614
191,uhhh why am i not in your top whatever??? ----- i think i should be in it. ----- and how do you know adrienne the indian freshman?,POSITIVE,0.9396248459815979
192,"Kim is highly aggitated for no particular reason ----- ----- ...of course you are, you work with MIKE. ----- ----- miss you!",POSITIVE,0.8137179613113403
193,Hey are yall going to the bash this year ?,POSITIVE,0.9939950108528137
194,I LOVE YOU!!!!,POSITIVE,0.9959308505058289
195,whats up with the name ginger and fransic hehe no offense brad but really what is??? ----- its kinda streange but oh well that is like u so nevermind... ----- where u at the library hehe that is for little kids not big kids like u guys!! ----- brittany your little sister ----- (im little so i can go to the library),NEGATIVE,0.6668833494186401
196,"I hate liars and bitchassness, too!",NEGATIVE,0.9676037430763245
197,"Thanks for adding me... xoxoxoxo... ----- ----- Love Always, ----- Miss Phoebe",POSITIVE,0.8861161470413208
198,are we having fun,POSITIVE,0.9994983673095703
199,hey thinks for visting my myspace and requesting to be my friend hit me up when you see it leave me a message,NEGATIVE,0.9969902038574219
200,"Yeh T tickets didnt really happen.. ----- Did you go to Bled or anywhere exciting like that?! I want sunshine now - Feb was miserable, time for daffodils",NEGATIVE,0.9999409914016724
201,nah its more like bbBOOOOOOOMmm,NEGATIVE,0.9998407363891602
202,"hey sexy im at work, i just wanted to say have fun shopping...love ya -----",POSITIVE,0.9921817779541016
203,Oh no...your song is broken! ----- Happy Birthday Bitch! ----- Love ya!,POSITIVE,0.7287722826004028
204,It would be great to play togther again because knowing we have played together pretty much our whole football careers is gunna be hard to leave. im proud of you tho john im glad your having great success ill be here for u if u need me man. and sorry for this sympathetic stuff but im glad your my friend my man.,POSITIVE,0.9982925057411194
205,hey mai why are'nt u on aim?,NEGATIVE,0.9893646240234375
206,Mary ----- I ? YOU!! ----- ----- im jus a tad bit bored ----- lol ----- so hows summer treating you?? ----- ----- ???,NEGATIVE,0.999948263168335
207,I am ill!!! With something called Labrynthitus!! ----- ----- Inner ear is fucked!! ----- ----- Cant stand up without falling over!!!!!!! ----- ----- ----- x,NEGATIVE,0.9999716281890869
208,trying to graduate on time and get the hell out of here so i can start a life of my own.,POSITIVE,0.846013605594635
209,My life is complete. Chad is my myspace friend.woo hoo!,POSITIVE,0.9993162155151367
210,welcome aboard matey - see you saturday? for a bit of fighting?,POSITIVE,0.9780341982841492
211,im good....... you?,POSITIVE,0.9741054177284241
212,YAY! I am so glad you are free to roam again. :),POSITIVE,0.9993327260017395
213,YES whats up u half black son of a gun you,POSITIVE,0.6791507005691528
214,Hey DUDE!!!!!!!!! You need to call me so we can have band practice. ROCK ON DUDE!!!!!!!!!,POSITIVE,0.9989141225814819
215,wats up biatch.....u like tha movie,NEGATIVE,0.9959881901741028
216,sup bitches. ----- ----- ----- auto-robotic asphyxiation,NEGATIVE,0.9996645450592041
217,"happy birthday to you happy birthday to you happy birthday dear popssss happy birthday to you! ----- ----- umm.. i think i deserve to be on your top!! ----- ----- love you, ----- sierra",POSITIVE,0.9987003803253174
218,"thanks, i will be back somewhere around that day too because shawn and i have a wedding to go too.... i have 4 weddings in aug to go too this year.... im goin to be so poor.... i need to find a job out in cali... okay ill talk to ya later, bye",NEGATIVE,0.9475303292274475
219,Hey Maribel!!!How have you been?,POSITIVE,0.9982909560203552
220,ya i miss u to. lol,POSITIVE,0.9961525797843933
221,so how was ur weekend? i hope yall liked the game i did and didnt lol -----,NEGATIVE,0.9453046321868896
222,"hummm water edge, well im not sure what the place is called but my buddy Kenny and my friend Wendy both live on Hiatus. so i'm not sure where....what color are the places that u live in??",NEGATIVE,0.9710206985473633
223,"O MY FUCKING GOD!!!HA,HA,HA!OH GOD!!!! ----- =D",NEGATIVE,0.9218551516532898
224,THATS GOOD. THATS HOW YU GITTA DO iT NOW DAYS FA YU G3T iN TROUBL3.,POSITIVE,0.9990025162696838
225,hah I feel loved I am on ur tops..=),POSITIVE,0.9993315935134888
226,"alright savy! Got a few pictures ere for you mate, sorry I got distracted the other night man. Must see you guys soon for a few. I can send you them pictures over msn if you want to grab my email from our page!",POSITIVE,0.9839769601821899
227,lol doin good! kinda tired though from track.,POSITIVE,0.978839099407196
228,aye congrats on da new born my nigga,POSITIVE,0.9991673231124878
229,Jim doesn't get pissed off- why you mad?,POSITIVE,0.9961643218994141
230,hell yeah you know it.,POSITIVE,0.9982847571372986
231,is that truck worth havin? shoot,NEGATIVE,0.9744635224342346
232,Nigga Henna! wuts tha mutha fuckin deal cuz? i havnt seen ur punk ass in a few mins man! fuckin holla @cha boi bitch! ----- ----- Twankie,NEGATIVE,0.9998724460601807
233,sox/yankees you take Yanks?!?! ----- ----- are you kiddin me?,NEGATIVE,0.9994956254959106
234,hey love you are so cute in those pics.... message me back!,NEGATIVE,0.9797517657279968
235,hey hun how have u been,POSITIVE,0.9976420402526855
236,hello new fwend :D,POSITIVE,0.9679611921310425
237,Happy Birthday B-E-N!,POSITIVE,0.998769223690033
238,"look at that lee top of your leaderboard, oh yeah and im probs the person that know you least. sorry didnt get hold of you left my phone in my dads car. but ill catch ya on monday buddy. much love xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",POSITIVE,0.9954030513763428
239,um u a offie 4 real nick! haha naw im just playin...u know ur sexy as hell lol...,POSITIVE,0.997864305973053
240,hey tiffany welcome to myspace. i seen that nobody sent u ne coments so i figured i would send u one. Hit me back maybe we can do sometime yah know. well ill ttyl bye earl,NEGATIVE,0.9983475208282471
241,wood lake?,NEGATIVE,0.9697787761688232
242,how do i add a pic to my background?,POSITIVE,0.9755582809448242
243,it runs?? but i rolled a bearing in it.im also doin some high po work to it,NEGATIVE,0.9982550740242004
